% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 29.07    0.000525           1       328        67 stat
 11.07    0.000200           1       120        22 openat
 10.63    0.000192           1       168           read
  9.69    0.000175           8        20           getdents64
  8.14    0.000147           0       151           fstat
  7.64    0.000138           1       122           mmap
  6.26    0.000113           1       101           close
  6.09    0.000110           0       117         3 lseek
  4.32    0.000078           1        77        71 ioctl
  2.05    0.000037           1        30           mprotect
  1.55    0.000028           1        15           brk
  0.83    0.000015           1        14           munmap
  0.50    0.000009           2         4         2 readlink
  0.28    0.000005           0        68           rt_sigaction
  0.28    0.000005           1         3           fcntl
  0.22    0.000004           4         1           sysinfo
  0.22    0.000004           1         3           sigaltstack
  0.17    0.000003           3         1           rt_sigprocmask
  0.17    0.000003           3         1           set_tid_address
  0.17    0.000003           3         1           prlimit64
  0.11    0.000002           2         1           lstat
  0.11    0.000002           2         1           getcwd
  0.11    0.000002           0         7           futex
  0.11    0.000002           2         1           set_robust_list
  0.06    0.000001           1         1           getuid
  0.06    0.000001           1         1           getgid
  0.06    0.000001           1         1           geteuid
  0.06    0.000001           1         1           getegid
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         1 arch_prctl
------ ----------- ----------- --------- --------- ----------------
100.00    0.001806                  1375       167 total
