% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 26.10    0.000426           1       328        67 stat
 15.99    0.000261          13        20           getdents64
 10.85    0.000177           1       169           read
 10.48    0.000171           1       124        26 openat
  8.15    0.000133           0       152           fstat
  6.86    0.000112           0       117         3 lseek
  6.50    0.000106           1       101           close
  5.58    0.000091           0       122           mmap
  4.66    0.000076           0        77        71 ioctl
  1.41    0.000023           0        30           mprotect
  0.80    0.000013           0        14           munmap
  0.74    0.000012           0        15           brk
  0.37    0.000006           2         3           dup
  0.31    0.000005           1         3           fcntl
  0.18    0.000003           3         1           lstat
  0.18    0.000003           3         1           getcwd
  0.18    0.000003           0         4         2 readlink
  0.18    0.000003           3         1           getgid
  0.18    0.000003           3         1           geteuid
  0.18    0.000003           3         1           getegid
  0.12    0.000002           2         1           getuid
  0.00    0.000000           0        68           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         3           sigaltstack
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         7           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.001632                  1381       171 total
