% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 22.44    0.000335           1       328        67 stat
 17.62    0.000263           1       168           read
 12.26    0.000183           9        20           getdents64
  9.78    0.000146           1       122           mmap
  9.18    0.000137           1       120        22 openat
  7.57    0.000113           0       151           fstat
  5.36    0.000080           0       101           close
  4.96    0.000074           0       117         3 lseek
  3.55    0.000053           0        77        71 ioctl
  2.21    0.000033           2        14           munmap
  1.81    0.000027           0        30           mprotect
  1.07    0.000016           2         7           futex
  0.94    0.000014           0        15           brk
  0.40    0.000006           6         1           getgid
  0.33    0.000005           5         1           getegid
  0.13    0.000002           2         1           mremap
  0.13    0.000002           2         1           getuid
  0.13    0.000002           2         1           geteuid
  0.13    0.000002           0         3           sigaltstack
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0        68           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         3           fcntl
  0.00    0.000000           0         1         1 fdatasync
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         4         2 readlink
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.001493                  1376       168 total
