% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 26.38    0.000743           2       328        67 stat
 16.15    0.000455           2       170           read
  9.98    0.000281           2       120        22 openat
  9.66    0.000272           2       122           mmap
  8.02    0.000226           1       153           fstat
  6.35    0.000179           8        20           getdents64
  6.11    0.000172           1       101           close
  5.57    0.000157           1       117         3 lseek
  4.01    0.000113           1        77        71 ioctl
  3.23    0.000091           6        14           munmap
  2.24    0.000063           2        30           mprotect
  1.28    0.000036           2        15           brk
  0.32    0.000009           1         7           futex
  0.21    0.000006           6         1           mremap
  0.14    0.000004           4         1         1 execveat
  0.11    0.000003           1         3           fcntl
  0.07    0.000002           2         1           lstat
  0.07    0.000002           2         1           getcwd
  0.07    0.000002           0         4         2 readlink
  0.04    0.000001           0        68           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         3           sigaltstack
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.002817                  1380       168 total
