% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 20.77    0.000168           0       328        67 stat
 19.65    0.000159           2        68           rt_sigaction
 12.86    0.000104           0       169           read
  9.39    0.000076           0       152           fstat
  9.02    0.000073           0       120        22 openat
  7.91    0.000064           0       117         3 lseek
  6.30    0.000051           0        77        71 ioctl
  5.81    0.000047           0       101           close
  4.08    0.000033           0       121           mmap
  1.24    0.000010           0        15           brk
  1.24    0.000010           3         3           dup
  0.74    0.000006           0        30           mprotect
  0.49    0.000004           0        20           getdents64
  0.37    0.000003           0         7           futex
  0.12    0.000001           0        13           munmap
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         1         1 listen
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         3           fcntl
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         4         2 readlink
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         3           sigaltstack
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.000809                  1376       168 total
