% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 23.67    0.000266           0       328        67 stat
 16.10    0.000181           1       169           read
 13.43    0.000151           1       122           mmap
 11.92    0.000134           6        20           getdents64
  8.72    0.000098           0       120        22 openat
  7.12    0.000080           0       152           fstat
  5.69    0.000064           0       101           close
  4.63    0.000052           0       117         3 lseek
  3.29    0.000037           0        77        71 ioctl
  2.58    0.000029           0        30           mprotect
  1.69    0.000019           1        15           brk
  0.89    0.000010           1         7           futex
  0.18    0.000002           0         3           sigaltstack
  0.09    0.000001           0        14           munmap
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0        68           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         3           fcntl
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         4         2 readlink
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.001124                  1377       167 total
