% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 31.01    0.000592           1       328        67 stat
 12.62    0.000241           1       168           read
 11.05    0.000211           1       120        22 openat
  9.17    0.000175           8        20           getdents64
  8.38    0.000160           1       151           fstat
  6.86    0.000131           1       122           mmap
  6.13    0.000117           1       117         3 lseek
  6.08    0.000116           1       101           close
  4.77    0.000091           1        79        72 ioctl
  1.57    0.000030           1        30           mprotect
  1.26    0.000024           1        15           brk
  0.31    0.000006           0         7           futex
  0.26    0.000005           0        14           munmap
  0.16    0.000003           1         3           fcntl
  0.16    0.000003           3         1           getcwd
  0.10    0.000002           2         1           lstat
  0.10    0.000002           0         4         2 readlink
  0.00    0.000000           0        68           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         3           sigaltstack
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.001909                  1377       168 total
