% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 27.10    0.000743           2       328        67 stat
 10.94    0.000300           1       168           read
  9.70    0.000266           2       120        22 openat
  8.39    0.000230          11        20           getdents64
  8.17    0.000224           1       151           fstat
  6.97    0.000191           1       121           mmap
  6.82    0.000187           1       101           close
  6.16    0.000169           1       117         3 lseek
  4.56    0.000125           1        77        71 ioctl
  4.05    0.000111           1        68           rt_sigaction
  3.36    0.000092           7        13           munmap
  1.64    0.000045           1        30           mprotect
  0.91    0.000025           1        15           brk
  0.29    0.000008           1         7           futex
  0.22    0.000006           2         3           dup
  0.15    0.000004           1         3           fcntl
  0.15    0.000004           1         3           sigaltstack
  0.07    0.000002           2         1           lstat
  0.07    0.000002           2         1           getcwd
  0.07    0.000002           0         4         2 readlink
  0.07    0.000002           2         1           getgid
  0.07    0.000002           2         1           geteuid
  0.04    0.000001           1         1           getuid
  0.04    0.000001           1         1           getegid
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.002742                  1373       167 total
