% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 28.00    0.000240           0       328        67 stat
 12.60    0.000108           0       168           read
  9.80    0.000084           0       120        22 openat
  9.45    0.000081           0       151           fstat
  8.28    0.000071           3        20           getdents64
  7.00    0.000060           0       101           close
  7.00    0.000060           0       117         3 lseek
  5.48    0.000047           3        15           munmap
  5.25    0.000045           0        77        71 ioctl
  2.68    0.000023           1        15           brk
  2.57    0.000022           0       123           mmap
  0.47    0.000004           1         3           sigaltstack
  0.35    0.000003           0        30           mprotect
  0.23    0.000002           0        68           rt_sigaction
  0.23    0.000002           0         3           fcntl
  0.23    0.000002           0         7           futex
  0.12    0.000001           1         1           lstat
  0.12    0.000001           1         1           getcwd
  0.12    0.000001           0         4         2 readlink
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.000857                  1377       167 total
