% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 25.49    0.000374           1       328        67 stat
 15.13    0.000222          11        20           getdents64
 10.63    0.000156           0       170           read
 10.09    0.000148           1       120        22 openat
  8.52    0.000125           0       153           fstat
  6.68    0.000098           0       117         3 lseek
  6.34    0.000093           0       101           close
  6.07    0.000089           1        68           rt_sigaction
  5.66    0.000083           1        77        71 ioctl
  2.45    0.000036           0       124           mmap
  1.02    0.000015           1        15           brk
  0.41    0.000006           2         3           dup
  0.34    0.000005           0        16           munmap
  0.20    0.000003           0        30           mprotect
  0.14    0.000002           0         3           fcntl
  0.14    0.000002           2         1           getuid
  0.14    0.000002           2         1           getgid
  0.14    0.000002           2         1           geteuid
  0.14    0.000002           0         7           futex
  0.07    0.000001           1         1           lstat
  0.07    0.000001           1         1           getcwd
  0.07    0.000001           0         4         2 readlink
  0.07    0.000001           1         1           getegid
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         1           socket
  0.00    0.000000           0         1           connect
  0.00    0.000000           0         1           sendto
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         3           sigaltstack
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.001467                  1386       167 total
